Sites,Australia,Bangladesh,Hongkong,Indonesia,Malaysia,Myanmar,New Zealand,Pakistan
Weighted,0.028,0.199,0.131,0.005,0.051,0.131,0.025,0.018
Sites,Philippines,Shanghai,Singapore,South Korea,Sri Lanka,Taiwan,Thailand,Vietnam
Weighted,0.043,-0.055,0.077,0.157,0.065,0.056,0.094,-0.027
