Sites,Australia,Bangladesh,Hongkong,Indonesia,Malaysia,Myanmar,New Zealand,Pakistan
Weighted,0.205,-0.101,-0.254,0.134,0.202,-0.087,-0.085,0.011
Sites,Philippines,Shanghai,Singapore,South Korea,Sri Lanka,Taiwan,Thailand,Vietnam
Weighted,-0.118,0.397,0.135,0.461,0.162,0.112,-0.025,-0.151
