Sites,Australia,Bangladesh,Hongkong,Indonesia,Malaysia,Myanmar,New Zealand,Pakistan
Weighted,0.22,-0.126,-0.286,0.145,0.215,-0.105,-0.094,0.011
Sites,Philippines,Shanghai,Singapore,South Korea,Sri Lanka,Taiwan,Thailand,Vietnam
Weighted,-0.131,0.435,0.14,0.486,0.17,0.117,-0.035,-0.161
