Sites,Australia,Bangladesh,Hongkong,Indonesia,Malaysia,Myanmar,New Zealand,Pakistan
Weighted,0.058,0.149,0.067,0.027,0.076,0.095,0.007,0.017
Sites,Philippines,Shanghai,Singapore,South Korea,Sri Lanka,Taiwan,Thailand,Vietnam
Weighted,0.016,0.02,0.087,0.208,0.081,0.066,0.074,-0.048
