Sites,Australia,Bangladesh,Hongkong,Indonesia,Malaysia,Myanmar,New Zealand,Pakistan
Weighted,0.087,0.099,0.003,0.048,0.101,0.058,-0.011,0.016
Sites,Philippines,Shanghai,Singapore,South Korea,Sri Lanka,Taiwan,Thailand,Vietnam
Weighted,-0.011,0.096,0.097,0.258,0.097,0.075,0.055,-0.068
