Sites,Australia,Bangladesh,Hongkong,Indonesia,Malaysia,Myanmar,New Zealand,Pakistan
Weighted,0.147,0.003,0.036,0.02,0.024,0.002,0.014,0.003
Sites,Philippines,Shanghai,Singapore,South Korea,Sri Lanka,Taiwan,Thailand,Vietnam
Weighted,0.019,0.48,0.023,0.091,0.003,0.078,0.039,0.018
