Sites,Australia,Bangladesh,Hongkong,Indonesia,Malaysia,Myanmar,New Zealand,Pakistan
Weighted,0.117,0.049,-0.061,0.07,0.126,0.022,-0.03,0.015
Sites,Philippines,Shanghai,Singapore,South Korea,Sri Lanka,Taiwan,Thailand,Vietnam
Weighted,-0.037,0.171,0.106,0.309,0.114,0.084,0.035,-0.089
