Sites,Australia,Bangladesh,Hongkong,Indonesia,Malaysia,Myanmar,New Zealand,Pakistan
Weighted,0.131,0.024,-0.093,0.081,0.139,0.004,-0.039,0.014
Sites,Philippines,Shanghai,Singapore,South Korea,Sri Lanka,Taiwan,Thailand,Vietnam
Weighted,-0.051,0.209,0.111,0.334,0.122,0.089,0.025,-0.099
